"コード","銘柄名","市場","現在値","前日比(%)"
"5597","ブルーイノベーション","東G","1103","-62.0(-5.32%)"
"5599","Ｓ＆Ｊ","東G","1050","-29.0(-2.69%)"
"5616","雨風太陽","東G","1000","-83.0(-7.66%)"
"5618","ナイル","東G","275","-6.0(-2.14%)"
"5619","マーソ","東G","986","-25.0(-2.47%)"
"5621","ヒューマンテクノロジーズ","東G","1480","-40.0(-2.63%)"
"5704","ＪＭＣ","東G","464","-4.0(-0.85%)"
"5834","ＳＢＩリーシングサービス","東G","3320","-35.0(-1.04%)"
"5842","インテグラル","東G","3450","-55.0(-1.57%)"
"5858","ＳＴＧ","東G","3235","-100.0(-3.00%)"
"5867","エスネットワークス","東G","993","-7.0(-0.70%)"
"5870","ナルネットコミュニケーションズ","東G","535","-5.0(-0.93%)"
"5884","クラダシ","東G","302","+1.0(+0.33%)"
"5888","ＤＡＩＷＡ　ＣＹＣＬＥ","東G","3640","+5.0(+0.14%)"
"5892","ｙｕｔｏｒｉ","東G","2372","-111.0(-4.47%)"
"6026","ＧＭＯ　ＴＥＣＨ","東G","8940","-140.0(-1.54%)"
"6027","弁護士ドットコム","東G","3195","-50.0(-1.54%)"
"6030","アドベンチャー","東G","3550","-140.0(-3.79%)"
"6031","ＺＥＴＡ","東G","347","-20.0(-5.45%)"
"6033","エクストリーム","東G","1291","-30.0(-2.27%)"
"6034","ＭＲＴ","東G","701","-4.0(-0.57%)"
"6038","イード","東G","835","-13.0(-1.53%)"
"6039","日本動物高度医療センター","東G","2406","-58.0(-2.35%)"
"6040","日本スキー場開発","東G","1355","-77.0(-5.38%)"
"6045","レントラックス","東G","1221","+4.0(+0.33%)"
